modGenes	module	colourRGB
ENSBTAG00000007508	yellow	#FFFF00
ENSBTAG00000007510	turquoise	#40E0D0
ENSBTAG00000007519	salmon	#FA8072
ENSBTAG00000007520	salmon	#FA8072
ENSBTAG00000007522	tan	#D2B48C
ENSBTAG00000007537	turquoise	#40E0D0
ENSBTAG00000007540	salmon	#FA8072
ENSBTAG00000007543	green	#00FF00
ENSBTAG00000007544	red	#FF0000
ENSBTAG00000007545	blue	#0000FF
ENSBTAG00000007558	blue	#0000FF
ENSBTAG00000007559	magenta	#FF00FF
ENSBTAG00000007562	pink	#FFC0CB
ENSBTAG00000007566	tan	#D2B48C
ENSBTAG00000007567	black	#000000
ENSBTAG00000007570	magenta	#FF00FF
ENSBTAG00000007577	darkgrey	#A9A9A9
ENSBTAG00000007581	pink	#FFC0CB
ENSBTAG00000007584	green	#00FF00
ENSBTAG00000007586	darkgrey	#A9A9A9
ENSBTAG00000007588	yellow	#FFFF00
ENSBTAG00000007591	magenta	#FF00FF
ENSBTAG00000007592	turquoise	#40E0D0
ENSBTAG00000007593	royalblue	#4169E1
ENSBTAG00000007594	green	#00FF00
ENSBTAG00000007595	brown	#A52A2A
ENSBTAG00000007599	brown	#A52A2A
ENSBTAG00000007606	darkgreen	#006400
ENSBTAG00000007608	tan	#D2B48C
ENSBTAG00000007609	turquoise	#40E0D0
ENSBTAG00000007614	darkred	#8B0000
ENSBTAG00000007616	salmon	#FA8072
ENSBTAG00000007617	black	#000000
ENSBTAG00000007620	turquoise	#40E0D0
ENSBTAG00000007624	blue	#0000FF
ENSBTAG00000007629	turquoise	#40E0D0
ENSBTAG00000007630	pink	#FFC0CB
ENSBTAG00000007634	greenyellow	#ADFF2F
ENSBTAG00000007636	turquoise	#40E0D0
ENSBTAG00000007639	brown	#A52A2A
ENSBTAG00000007643	blue	#0000FF
ENSBTAG00000007644	brown	#A52A2A
ENSBTAG00000007646	black	#000000
ENSBTAG00000007648	brown	#A52A2A
ENSBTAG00000007649	turquoise	#40E0D0
ENSBTAG00000007658	blue	#0000FF
ENSBTAG00000007659	turquoise	#40E0D0
ENSBTAG00000007661	brown	#A52A2A
ENSBTAG00000007662	midnightblue	#191970
ENSBTAG00000007674	red	#FF0000
ENSBTAG00000007683	green	#00FF00
ENSBTAG00000007684	blue	#0000FF
ENSBTAG00000007685	pink	#FFC0CB
ENSBTAG00000007686	turquoise	#40E0D0
ENSBTAG00000007689	blue	#0000FF
ENSBTAG00000007696	black	#000000
ENSBTAG00000007698	orange	#FFA500
ENSBTAG00000007709	greenyellow	#ADFF2F
ENSBTAG00000007712	brown	#A52A2A
ENSBTAG00000007718	brown	#A52A2A
ENSBTAG00000007719	midnightblue	#191970
ENSBTAG00000007721	purple	#A020F0
ENSBTAG00000007723	turquoise	#40E0D0
ENSBTAG00000007725	midnightblue	#191970
ENSBTAG00000007730	turquoise	#40E0D0
ENSBTAG00000007732	blue	#0000FF
ENSBTAG00000007734	green	#00FF00
